Робот по имени Чаппи;2015,ЮАР,Фантастика,Боевики,Триллеры
Фантастическая четверка: Вторжение Серебряного серфера;2007,США,Фантастика,Фэнтези,Боевики
Миссия невыполнима: Протокол Фантом;2011,США,Боевики,Триллеры,Приключения
Терминатор: Генезис;2015,США,Фантастика,Боевики,Триллеры
Шпионские игры;2001,США,Боевики,Триллеры,Детективы
[4k] Пиксели;2015,США,Фантастика,Фэнтези,Боевики
Скайлайн;2010,США,Фантастика,Боевики,Триллеры
Плохие парни 2;2003,США,Боевики,Триллеры,Драмы
Мгновенная смерть;2017,Великобритания,Боевики,Зарубежные,Криминал
Женский бойцовский клуб;2016,США,Боевики,Драмы,Зарубежные
[4k] Солт;2010,США,Боевики,Триллеры,Детективы
Пандорум;2009,Германия,Фантастика,Ужасы,Боевики
Овердрайв;2017,Франция,Боевики,Триллеры,Зарубежные
Возвращение героя;2013,США,Боевики,Триллеры,Криминал
РЭД;2010,США,Боевики,Комедии,Триллеры
Свободные люди округа Джонс;2016,США,Драмы,Исторические,Военные
Пипец;2010,Великобритания,Комедии,По комиксам,Боевики
Последние рыцари;2014,Великобритания,Драмы,Боевики,Приключения
Три икса;2002,США,Триллеры,Приключения,Боевики
Пять тысяч;2016,США,Вестерн,Боевики,Триллеры
Отпетые напарники;2016,Китай,Боевики,Триллеры,Комедии
Геракл;2014,США,Приключения,Боевики,Фэнтези
Рекрут;2003,США,Боевики,Триллеры,Драмы
Эскадрилья «Лафайет»;2006,Великобритания,Боевики,Драмы,Мелодрамы
Иностранец;2017,Великобритания,Боевики,Триллеры,Драмы
Мачо и ботан;2012,США,Боевики,Комедии,Криминал
Другой мир 2: Эволюция;2005,США,Фантастика,Фэнтези,Боевики
Слезы солнца;2003,США,Драмы,Триллеры,Военные
Звездные войны: Эпизод 1 – Скрытая угроза;1999,США,Фантастика,Фэнтези,Боевики
Без тормозов;2016,Франция,Боевики,Комедии,Зарубежные
Парк Юрского периода 3;2001,США,Фантастика,Боевики,Триллеры
Чужой против Хищника;2004,США,Ужасы,Фантастика,Боевики
Джейн берет ружье;2016,США,Боевики,Драмы,Вестерн
Малавита;2013,США,Криминал,Комедии,Боевики
5-я волна;2016,США,Фантастика,Боевики,Триллеры
